FlightNumber,Date,Route,AircraftType,Distance_km,Payload_kg,PassengerCount,FuelUplifted_kg,PlannedFuel_kg,ActualFuel_kg,CG_Position_percent_MAC,DelayMinutes,DelayReason,TaxiOutTime_min,WindComponent_kts,WeatherCondition
AB0808,18-03-2024,SHJ-CAI,A321,2060.5,17638.2,199,10277.6,10389.4,10123.5,27.02,4,Late Arrival,20.2,-27.8,Storm
AB0809,09-01-2024,SHJ-CAI,A321,1989.9,17346.1,207,9010.4,9242.3,8706.2,30.15,33,Late Arrival,20.2,-17.5,Rain
AB0810,03-02-2024,SHJ-JED,A321,1720.8,15821,200,7625.1,7626.1,7440.8,28.96,26,ATC,23.5,-13.8,Fog
AB0811,07-04-2024,SHJ-MCT,A320,1607.3,12067.9,129,6731,6823,6519.9,26.99,16,None,16.8,-19.8,Fog
AB0812,21-02-2024,SHJ-JED,A321,2428.1,15319.8,218,9486,9630.3,9219.4,29.88,0,Late Arrival,17.1,-15.8,Clear
AB0813,24-03-2024,SHJ-DOH,A321,2145.4,17085,215,11332.6,11426.4,11185.6,28.09,22,Technical,9.9,-14.8,Storm
AB0814,21-02-2024,SHJ-DOH,A320,1674,13265.8,136,7534.9,7633.7,7126.5,28.63,43,Weather,19.3,-28.4,Fog
AB0815,14-04-2024,SHJ-MCT,A321,2293.5,15955.7,199,7980.1,8060.8,7587.5,29.18,0,None,20.2,-31.4,Cloudy
AB0816,28-03-2024,SHJ-RUH,A321,2171.7,17377.8,225,9478,9727.6,9354.8,30.75,24,None,14.2,-21.7,Rain
AB0817,05-03-2024,SHJ-CAI,A320,1691.3,15263.9,170,7215.8,7371.9,6962.9,29.6,40,None,21.8,-23.8,Fog
AB0818,24-01-2024,SHJ-CAI,A320,1151.7,14297.2,164,8140,8173.7,7834.6,28.56,22,Weather,21.4,-5.8,Rain
AB0819,02-04-2024,SHJ-RUH,A320,1920.8,13590,163,8091.1,8241,7780.4,28.64,51,None,29,-18.8,Rain
AB0820,24-03-2024,SHJ-DEL,A320,1032.7,15236.8,154,7198.5,7276.2,6938.4,28.61,0,Technical,12.6,-14.9,Rain
AB0821,23-02-2024,SHJ-CAI,A321,2324.6,17141.5,194,8521.7,8633.7,8272.4,30.49,0,Technical,16.9,-40,Rain
AB0822,29-02-2024,SHJ-DEL,A321,1869.6,17467,220,9949.4,10025.4,9557.3,28.57,53,ATC,16.8,-9,Fog
AB0823,15-03-2024,SHJ-RUH,A320,1801.3,12151.7,124,7421,7560.4,7015.4,28.91,0,Weather,26.1,-34.5,Cloudy
AB0824,05-03-2024,SHJ-DEL,A321,2242.6,16489.6,206,10838.6,10871.1,10609.1,29.02,2,Weather,34.9,-9.9,Storm
AB0825,07-01-2024,SHJ-MCT,A320,1718.1,12943.9,127,6974.8,7146.1,6663.3,29.12,14,None,16.4,-16,Rain
AB0826,22-02-2024,SHJ-RUH,A321,2096.3,18218.4,206,9413.7,9503.9,9335.2,29.84,0,ATC,14.2,-8.1,Cloudy
AB0827,09-04-2024,SHJ-DEL,A321,1904.7,17557.8,199,9111.4,9230.3,8923.8,31.46,25,Technical,13.7,-3,Cloudy
AB0828,10-02-2024,SHJ-JED,A320,1736.7,15374.5,181,5056.9,5204.1,4857.3,28.15,0,ATC,14.8,-48.6,Rain
AB0829,27-01-2024,SHJ-MCT,A320,1782.3,16210.7,181,10190.4,10341.8,9802.2,29.97,17,Weather,17.1,-4.5,Clear
AB0830,17-01-2024,SHJ-RUH,A321,2490.8,16020,195,9638.9,9778.8,9255.7,27.58,48,Late Arrival,14.8,-24,Storm
AB0831,24-02-2024,SHJ-DOH,A321,2019.5,19198.3,214,8649,8787.5,8262.6,28.81,26,ATC,13.9,-27.4,Fog
AB0832,26-01-2024,SHJ-JED,A321,1798,15176,240,11141.4,11324.6,10834.8,28.84,5,None,18.3,-21.9,Rain
AB0833,06-04-2024,SHJ-RUH,A320,1757,15143.4,168,8712.5,8831.9,8309.3,27.03,0,ATC,18.7,-22.6,Clear
AB0834,21-03-2024,SHJ-JED,A320,1817.5,13983.9,216,6669.8,6786.4,6568.8,27.62,16,Technical,20.9,-0.7,Rain
AB0835,09-02-2024,SHJ-MCT,A320,1498.6,13443.3,173,8770.5,8918.2,8251.1,27.94,0,Technical,15.2,-28.9,Fog
AB0836,09-02-2024,SHJ-MCT,A320,1931,14257,138,7564.1,7681.7,7176.3,28.57,17,None,26.1,-16.5,Rain
AB0837,07-02-2024,SHJ-DOH,A321,2122.8,15584.2,214,7059.3,7149,6777.7,27.64,0,Weather,22,-16.5,Cloudy
AB0838,13-02-2024,SHJ-DOH,A321,2220.4,16806.3,211,10742.9,10770,10430.5,30.63,17,None,15.1,-38.8,Cloudy
AB0839,26-04-2024,SHJ-DOH,A320,1879.2,13882.8,196,7654.1,7798.9,7437.8,28.93,13,Technical,21.4,-20.6,Cloudy
AB0840,28-01-2024,SHJ-JED,A320,1846.8,15165,177,7830.7,7812.5,7395.5,30.05,0,Weather,14.9,-20.6,Cloudy
AB0841,16-01-2024,SHJ-CAI,A320,1770.7,15006.4,143,8260.8,8375.5,8018.6,27.94,11,Technical,15.3,-27.7,Rain
AB0842,08-04-2024,SHJ-RUH,A320,1857.5,14943.7,153,7131.2,7229.6,6769.9,28.83,0,Weather,9.1,-28,Clear
AB0843,25-03-2024,SHJ-DEL,A320,1646.7,13921.2,152,8741,8848.5,8469.8,28.16,13,ATC,17.9,-12.3,Clear
AB0844,23-02-2024,SHJ-DOH,A321,2040.9,17899.4,205,8188.5,8245.9,7869.6,29.67,54,ATC,14.1,-15,Rain
AB0845,01-03-2024,SHJ-JED,A320,1448.9,14453.9,147,7375.2,7511.8,7185.3,29.01,10,Technical,13.7,3.8,Clear
AB0846,08-02-2024,SHJ-DOH,A320,1649.9,11838,174,6895.2,6976.2,6496.4,28.6,38,Late Arrival,12,-28.5,Rain
AB0847,20-03-2024,SHJ-RUH,A320,1784.9,15537.6,151,7405.5,7476.6,7057.7,28.15,0,Weather,29.1,-40.2,Clear
AB0848,06-03-2024,SHJ-JED,A320,1735.6,13967.5,203,6675.2,6813,6176.8,28.42,0,Technical,20.9,-30.9,Clear
AB0849,04-03-2024,SHJ-MCT,A320,2053.3,13028.9,162,7444.7,7581.8,7243.5,28.54,34,None,9.1,-4,Fog
AB0850,26-01-2024,SHJ-CAI,A321,2701.1,16048.4,240,9236.8,9321.6,9074.1,30.05,0,Technical,15,-11.1,Clear
AB0851,11-03-2024,SHJ-DOH,A320,1800.6,14584.6,169,8479.6,8591.2,8222.9,27.07,35,Late Arrival,14.8,-3.1,Storm
AB0852,12-02-2024,SHJ-MCT,A320,1753.3,14202,155,6984,7031.2,6858.5,27.68,14,ATC,23.1,-26.7,Clear
AB0853,26-04-2024,SHJ-DEL,A321,2023.6,15057.3,219,10883.2,11018.7,10456.6,29.64,43,ATC,19.7,-10.3,Clear
AB0854,09-04-2024,SHJ-RUH,A320,1735.8,12638,151,7990.8,8187.2,7684.8,28.08,33,None,15.8,-24.7,Clear
AB0855,25-04-2024,SHJ-CAI,A320,1534.2,13257.7,175,8007.6,8116.6,7613.3,27.65,52,Weather,17.5,-2.6,Rain
AB0856,03-02-2024,SHJ-DOH,A320,1719.8,14709.6,183,8208.5,8309.4,8143.9,29.23,20,ATC,20.2,-45.8,Cloudy
AB0857,21-04-2024,SHJ-DEL,A321,2055.9,16911.4,218,10714.7,10835,10429.2,29.02,0,Technical,6.7,-13.5,Rain
AB0858,24-02-2024,SHJ-JED,A320,1834.8,13381.8,132,8629.7,8757.6,8356.3,29.86,0,ATC,14.5,-23.1,Clear
AB0859,02-01-2024,SHJ-MCT,A320,2091,12363.6,203,8135.9,8226,7845.5,27.56,30,Technical,12.7,-14.8,Storm
AB0860,20-03-2024,SHJ-CAI,A320,1723.2,13237.9,216,8419.1,8575.9,8057.7,26.58,45,Technical,5.5,-31.5,Rain
AB0861,24-01-2024,SHJ-DEL,A321,2108.2,17081.7,214,9333.2,9384.3,9034.4,27.5,24,Weather,21.5,3.8,Storm
AB0862,04-02-2024,SHJ-DOH,A321,2042,17192.8,204,10690.5,10801,10288.3,28.66,29,None,21.2,-30.3,Cloudy
AB0863,15-01-2024,SHJ-MCT,A320,1534.4,13711.5,195,9146.5,9188.1,8957.7,29.27,0,None,20.5,-29.2,Cloudy
AB0864,14-01-2024,SHJ-DOH,A321,2523.4,15729.6,232,9684.9,9686.3,9359.6,26.8,5,None,19.2,-36.9,Storm
AB0865,24-01-2024,SHJ-RUH,A321,1982.3,17061.5,221,9362.3,9403.5,8984.2,28.64,42,None,18.3,-18.1,Fog
AB0866,04-01-2024,SHJ-JED,A320,2261.2,12600.7,180,9664,9807,9396.5,27.02,0,Weather,19.9,-8,Storm
AB0867,15-01-2024,SHJ-DOH,A321,2424.2,18069.6,208,10693.6,10838.7,10427.8,29.21,18,ATC,20.1,-44.1,Rain
AB0868,24-03-2024,SHJ-CAI,A320,1575.2,14102.5,131,8831.2,8947.6,8444.1,26.88,37,None,28.2,-17.8,Fog
AB0869,08-04-2024,SHJ-JED,A320,1902.1,14201.7,175,7880.4,8025.7,7583.9,30.35,0,None,17.5,-37.7,Rain
AB0870,07-03-2024,SHJ-RUH,A320,2118.4,13412.3,136,8638.2,8771.4,8163.8,28.2,18,Weather,25.1,-33.1,Cloudy
AB0871,02-03-2024,SHJ-CAI,A321,2177.6,16047.3,186,9171.6,9300,8760.9,29.64,12,ATC,20.6,-32,Fog
AB0872,24-04-2024,SHJ-RUH,A320,1738.1,14192,170,8320.2,8401.3,8034,31.16,28,ATC,20.1,-23.5,Cloudy
AB0873,05-03-2024,SHJ-DOH,A321,2109.8,16369.2,215,7619.6,7687.7,7476.5,29.21,5,None,25.4,-42.2,Clear
AB0874,06-04-2024,SHJ-DOH,A321,2049.7,18020.1,212,10384.8,10450.2,9879.7,28.9,4,Technical,8.2,-24.7,Rain
AB0875,07-01-2024,SHJ-RUH,A320,1976.2,14540.6,177,7624.5,7788,7390.1,27.5,15,Weather,18.8,1.9,Storm
AB0876,21-02-2024,SHJ-MCT,A320,1994.3,12704.7,141,8578.9,8656.2,8285.3,29.02,13,Weather,18.3,-8.3,Fog
AB0877,27-02-2024,SHJ-DEL,A321,2125,18068.5,194,10156.9,10188.1,9713.5,28.66,32,Weather,23.8,-22.6,Clear
AB0878,04-03-2024,SHJ-JED,A320,1653.1,14955.9,188,6835.3,6946.6,6655.7,28.63,4,ATC,21.4,-30.7,Storm
AB0879,05-01-2024,SHJ-RUH,A320,1377.1,13576.1,166,7724.2,7733.4,7540,27.49,27,None,24.3,-2.2,Fog
AB0880,20-03-2024,SHJ-JED,A321,2036.8,15346.3,219,10135.1,10134.4,9795.1,28.13,9,None,20.4,-8.5,Fog
AB0881,27-01-2024,SHJ-JED,A321,2228.9,16830.8,211,10185.6,10288.9,9854.3,28.73,11,None,20.4,-16,Rain
AB0882,15-04-2024,SHJ-DEL,A320,1876.2,15342.7,170,7351,7382.7,6962.6,26.92,16,None,20.6,-38.7,Rain
AB0883,12-03-2024,SHJ-RUH,A321,2123.4,15893.9,200,10443.6,10542.6,10072.9,28.45,0,None,25.1,-11.1,Rain
AB0884,01-04-2024,SHJ-DOH,A320,1658.7,14719.6,163,7712.9,7775.8,7369.4,27.66,12,ATC,15.5,-10,Cloudy
AB0885,01-01-2024,SHJ-CAI,A321,2573.8,15745.7,176,7498.3,7565.1,7213.3,29.21,12,None,10,-47.2,Rain
AB0886,11-03-2024,SHJ-RUH,A321,2259.2,16635.4,201,7842.9,8006.5,7495.7,29.28,0,None,18.2,-40.5,Clear
AB0887,24-04-2024,SHJ-MCT,A321,2411.6,16581.8,174,9199.3,9282.7,8853,28.72,0,ATC,20.8,-29.7,Storm
AB0888,14-01-2024,SHJ-CAI,A320,1368.7,13628.7,184,7613.1,7734.5,7139.3,28.34,7,ATC,17.7,-24,Storm
AB0889,28-01-2024,SHJ-DOH,A320,1739.5,14530.9,146,6924.1,7126.4,6736.4,28.53,16,None,12.7,-10.6,Clear
AB0890,06-04-2024,SHJ-DOH,A320,1776.7,14214.2,145,8160.3,8222,7902.7,28.73,0,None,20.8,-9.7,Fog
AB0891,16-01-2024,SHJ-DOH,A321,2024.1,15679.7,205,9782,9903.7,9497.3,30.76,0,Late Arrival,9.4,-7.6,Fog
AB0892,18-01-2024,SHJ-DOH,A320,2136.7,14392.8,143,7876.1,8008.3,7688,26.65,3,Weather,13,-18.1,Clear
AB0893,11-03-2024,SHJ-DOH,A321,2126.7,16676.8,210,8513.3,8610.9,8150.7,28.01,54,None,20.4,-22.3,Cloudy
AB0894,29-03-2024,SHJ-RUH,A320,2083,15841.8,162,8347.4,8440,8146.2,27.8,13,None,19.7,-11.6,Cloudy
AB0895,14-01-2024,SHJ-DOH,A321,2247.5,15289.3,191,8953.6,9106.1,8681.8,27.84,2,Weather,22.8,-24.5,Storm
AB0896,23-02-2024,SHJ-RUH,A320,1892.1,13860.5,170,7771.5,7794.3,7404.8,27.64,15,Technical,20.7,2.4,Rain
AB0897,07-02-2024,SHJ-DOH,A320,1721.8,15479.5,151,9328.6,9383,8946.9,28.31,8,ATC,21.1,-23.3,Fog
AB0898,30-03-2024,SHJ-JED,A321,2138.6,17869.1,208,10326.4,10509.8,10049,28.32,0,None,25.6,-26.7,Fog
AB0899,20-04-2024,SHJ-CAI,A320,2120.2,14891.8,161,6186.7,6291.8,5888.6,29.17,41,Technical,14.6,-8,Fog
AB0900,01-04-2024,SHJ-CAI,A321,2353.1,17573.4,219,7557.5,7599.7,7273,28.8,29,None,19.5,-2.8,Cloudy
AB0901,31-03-2024,SHJ-JED,A320,1868.4,12701.7,114,8148.8,8200,7870.2,26.3,0,Weather,17,-10,Rain
AB0902,31-03-2024,SHJ-DEL,A321,2237.7,18108.1,189,10381.1,10515.8,10076.3,28.56,31,Weather,19.5,-30.2,Fog
AB0903,14-03-2024,SHJ-JED,A321,2197.6,16260.4,219,8320.2,8440,8023.2,29.03,36,Late Arrival,21.9,-20.1,Fog
AB0904,06-02-2024,SHJ-DOH,A320,1843.3,14295.7,173,6174.3,6200.1,5904.5,29.28,8,Weather,17,-6.5,Clear
AB0905,18-02-2024,SHJ-MCT,A320,1884.5,12871.4,163,7664.8,7730.3,7539.3,27.82,7,Late Arrival,10.6,-2.7,Cloudy
AB0906,04-02-2024,SHJ-MCT,A321,2179.6,16537.6,218,8711.9,8793.6,8366.3,28.1,21,Late Arrival,25.5,-9.1,Cloudy
AB0907,17-04-2024,SHJ-DEL,A321,2384.6,15979.4,178,10990.1,11167.3,10484.7,28.66,0,Technical,12.7,-45.3,Fog
AB0908,05-01-2024,SHJ-CAI,A321,2178.5,18105.7,207,9802.3,9882.1,9364.8,31.04,49,ATC,17.3,-28.7,Fog
AB0909,20-04-2024,SHJ-MCT,A321,2339.4,16152.5,186,10781.2,10889,10359.6,27.74,0,Technical,18.5,-27.5,Rain
AB0910,29-03-2024,SHJ-JED,A320,1731.8,15022,179,9378.1,9461,9177.2,28.76,18,None,25.7,-13.7,Storm
AB0911,23-02-2024,SHJ-JED,A321,2569.6,17040,231,9176.5,9322,8875.1,30.61,24,None,17.6,0.7,Clear
AB0912,02-01-2024,SHJ-JED,A321,1761.6,15077.8,223,9514.1,9617.3,9153.6,29.57,0,Technical,20.9,-5.1,Storm
AB0913,16-04-2024,SHJ-MCT,A321,2444.1,18513.6,214,9773.9,9847.3,9626.2,28.81,31,None,14.9,-8.1,Fog
AB0914,04-04-2024,SHJ-RUH,A320,1799.7,13822.8,169,7608.8,7623.6,7351.7,27.75,0,None,15.4,-13.7,Cloudy
AB0915,07-02-2024,SHJ-DOH,A320,1931.7,14232.2,184,8575.6,8652.4,8305.1,28.31,21,None,25,-2.1,Clear
AB0916,24-01-2024,SHJ-MCT,A320,1691.7,13898,178,9068,9164.8,8674.1,26.75,0,Technical,19.4,-14.9,Storm
AB0917,05-02-2024,SHJ-RUH,A321,1980.3,16544.6,222,8348.8,8429.9,7938.3,30.26,0,ATC,12.9,-26.9,Fog
AB0918,18-04-2024,SHJ-CAI,A320,1781,13611.5,160,8334,8430.7,8051.1,26.29,17,Technical,17.6,4.2,Cloudy
AB0919,06-01-2024,SHJ-MCT,A321,2012.1,14691.7,222,9846.5,9870,9647.4,30.54,38,Weather,5.6,-26.9,Fog
AB0920,17-04-2024,SHJ-JED,A321,2532.8,16023.9,200,9217.2,9232,9029.3,30.05,0,Weather,19.2,-6.7,Fog
AB0921,11-03-2024,SHJ-CAI,A320,1509.8,13075.7,189,8532.9,8693,8294.6,29.21,15,None,13.5,-26.2,Rain
AB0922,08-03-2024,SHJ-MCT,A320,1857.3,13811.4,183,6470.2,6579.3,6319.7,27.51,0,Weather,9.2,-19.7,Fog
AB0923,21-01-2024,SHJ-DOH,A321,2189.4,17153.5,211,9367.4,9401.8,8949.7,29.54,0,ATC,13.8,-38.2,Cloudy
AB0924,23-04-2024,SHJ-MCT,A321,2356.4,16434.6,209,8393.3,8455.1,8123.2,29.38,0,Technical,24.6,-45.1,Rain
AB0925,28-01-2024,SHJ-RUH,A321,2038.7,18177.2,201,8185.1,8261.4,7863.2,28.16,0,None,31.8,-23.8,Clear
AB0926,15-01-2024,SHJ-JED,A321,1814.9,17993.7,222,8733.5,8867.2,8526.8,28.75,0,Weather,26.9,-26.5,Fog
AB0927,27-04-2024,SHJ-RUH,A320,2099.1,15278.4,144,9033.2,9039.9,8798.3,27.58,17,None,15.7,-24.6,Rain
AB0928,18-02-2024,SHJ-DEL,A321,2428.7,16606.5,193,10202,10176,9882.3,29.43,17,Technical,18.1,-6.6,Rain
AB0929,04-01-2024,SHJ-RUH,A321,2065.5,16836.5,178,9907.1,9957.3,9411.8,28.24,0,Weather,18.6,-35.9,Fog
AB0930,27-02-2024,SHJ-DOH,A320,1884.2,14846.8,175,6231.6,6378.5,5832.1,28.83,17,Technical,19.1,-4.5,Cloudy
AB0931,11-02-2024,SHJ-RUH,A320,2184.7,13047,186,7913.8,7937,7626.8,27.72,0,None,15.7,-36.5,Cloudy
AB0932,08-04-2024,SHJ-RUH,A320,1710.2,13593.9,166,6385.3,6503.3,6229.8,27.2,31,Late Arrival,19.1,-10.9,Cloudy
AB0933,26-03-2024,SHJ-JED,A320,2082.1,13690.3,153,8871.7,8962.3,8520.8,29.39,5,None,18.2,-19.7,Storm
AB0934,16-04-2024,SHJ-DEL,A320,1613.1,14077.6,192,8445,8536.9,8141.9,28.33,24,Weather,21,-25,Storm
AB0935,23-03-2024,SHJ-DEL,A320,1865,14479.9,144,8168.2,8292.4,8084.4,28.66,24,ATC,16,-15.4,Rain
AB0936,05-01-2024,SHJ-DEL,A320,2084.8,15413.8,164,8139.3,8164.3,7728.2,27.68,36,ATC,22.9,-14.5,Rain
AB0937,12-03-2024,SHJ-DEL,A320,1498.8,13950.1,153,8331,8379.8,8112,25.94,34,None,16,-17.6,Storm
AB0938,19-02-2024,SHJ-DOH,A321,2199.6,15432.6,184,8494.7,8613,8267,28.2,44,Weather,23.1,-7.9,Clear
AB0939,19-02-2024,SHJ-JED,A320,1776.1,15514.3,160,7968.7,8103.8,7651.7,28.64,0,Weather,15.3,-10.4,Fog
AB0940,09-01-2024,SHJ-JED,A320,1943,13606.6,133,7792.7,7983,7430.3,26.8,1,None,16.1,0.3,Clear
AB0941,15-02-2024,SHJ-RUH,A320,1793,13092.7,176,7595.4,7650.7,7417.8,29.73,17,Technical,18.5,-23.7,Rain
AB0942,18-03-2024,SHJ-DEL,A321,2258.4,16780.2,215,9614.8,9716,9228,28.02,0,None,8.1,10.4,Storm
AB0943,18-02-2024,SHJ-DOH,A320,1972.6,13169.9,159,7363.1,7392.1,6908.9,28.11,7,Weather,22.1,-21.6,Fog
AB0944,29-01-2024,SHJ-MCT,A321,1848.4,16248.9,190,9579.6,9592.6,9136.2,28.2,0,None,16.1,-8.9,Fog
AB0945,07-02-2024,SHJ-JED,A320,1765.3,14415.8,152,8229.9,8293.3,7852.1,28.78,11,Technical,23.2,-23,Rain
AB0946,02-01-2024,SHJ-RUH,A320,1876.2,13959.4,163,8258.9,8296.5,7905.2,29.43,0,ATC,14.6,-21.4,Clear
AB0947,14-03-2024,SHJ-RUH,A321,2282.5,18076.2,172,8992.3,9093.9,8905,29.27,41,Weather,18.6,-4.3,Clear
AB0948,09-02-2024,SHJ-MCT,A321,2316.8,16064.8,181,9775,9939.8,9624.2,28.84,33,Technical,15.6,-16,Fog
AB0949,19-01-2024,SHJ-MCT,A320,1841.9,13955,156,8392.5,8432,8185.1,29.24,24,Technical,18.3,5,Rain
AB0950,25-01-2024,SHJ-DEL,A320,1746.4,15322.7,168,6975.2,7124.8,6490.4,27.88,24,Late Arrival,16,-7.6,Fog
AB0951,19-04-2024,SHJ-DEL,A321,1721.8,15480.2,229,9250.3,9283,8929.6,30.85,33,Late Arrival,17,-26.1,Clear
AB0952,07-02-2024,SHJ-JED,A320,2005.9,15982.5,184,10171.8,10230.8,9964,26.81,18,Technical,18.9,-22.3,Cloudy
AB0953,02-04-2024,SHJ-RUH,A321,2361.9,17732.3,179,8903,8979.6,8521,28.2,30,None,11.6,-24.5,Rain
AB0954,17-01-2024,SHJ-JED,A320,1865.7,13426.2,180,7431.1,7524.8,6990.3,28.67,24,ATC,14.9,-50.8,Fog
AB0955,09-01-2024,SHJ-MCT,A321,2272.2,16572.3,221,9273.5,9473.9,9016.5,27.53,24,Weather,15.1,-25,Rain
AB0956,19-03-2024,SHJ-JED,A321,2136.6,15696.6,221,10890.6,10995.8,10543.6,28.01,20,Late Arrival,28.8,-25.7,Cloudy
AB0957,13-03-2024,SHJ-RUH,A321,2124.8,15938.9,200,6754.7,6812.4,6414.2,27.39,25,None,12.6,-25.1,Storm
AB0958,22-01-2024,SHJ-DEL,A321,2493.3,15090.8,179,9769.3,9790.6,9354.4,29.41,21,Technical,7.7,-8,Cloudy
AB0959,01-04-2024,SHJ-JED,A321,2375.3,16188.2,235,10636.5,10713.9,10326.1,28.03,9,Technical,20.8,-24.9,Rain
AB0960,18-01-2024,SHJ-JED,A321,1760.5,17768.7,213,9120.4,9296.6,8734.7,26.2,18,None,10.9,-12.5,Storm
AB0961,27-02-2024,SHJ-CAI,A321,2225.6,17135.7,200,7626.8,7747.1,7371.8,30.02,0,Weather,23.1,-29.7,Clear
AB0962,23-01-2024,SHJ-JED,A320,1872.5,13490.1,168,8891.9,8957.9,8714.6,28.18,58,None,13.7,10.6,Cloudy
AB0963,24-04-2024,SHJ-RUH,A320,2200.9,13902.7,159,7307.9,7337.6,7014.8,27.92,39,Technical,14.9,-23.6,Clear
AB0964,03-04-2024,SHJ-DEL,A320,1459.8,14374.1,170,8063.7,8149.1,7785.4,28.5,9,None,19.6,-16.8,Clear
AB0965,14-04-2024,SHJ-RUH,A321,2424.7,17177,213,11018.4,11183.7,10676.4,29.61,0,None,24.5,-18,Cloudy
AB0966,26-04-2024,SHJ-DEL,A321,2189.6,16781.3,203,9727,9890.7,9486.2,28.89,2,Weather,13.4,-16,Fog
AB0967,01-03-2024,SHJ-JED,A320,1837.4,14388.4,144,6398.8,6573.1,6036.3,26.97,41,Technical,19.4,-20.1,Cloudy
AB0968,24-04-2024,SHJ-RUH,A321,2120.5,15115.5,229,8724.4,8874,8502.4,27.12,0,ATC,17.9,-15.6,Fog
AB0969,06-03-2024,SHJ-DEL,A321,2296.9,16198.2,240,9272.1,9332.3,8995.2,29.12,22,Technical,24,-42.3,Clear
AB0970,25-03-2024,SHJ-MCT,A320,1750.8,14446.7,176,8006.5,8066.1,7652.3,29.56,29,None,11.3,-36.1,Cloudy
AB0971,27-02-2024,SHJ-MCT,A320,1590.6,14678,139,7669,7765.7,7323.5,28.26,0,Weather,21,-29.2,Fog
AB0972,25-03-2024,SHJ-MCT,A321,2135.1,16737.7,212,9524,9609,9299,29,0,None,15.7,-14.2,Clear
AB0973,29-01-2024,SHJ-DOH,A320,1544.5,15156.6,190,6754.8,6847.7,6319.1,28.42,0,ATC,22.6,-13.9,Rain
AB0974,30-01-2024,SHJ-DEL,A320,1637.2,12834.8,135,8187.9,8320.5,7830.7,27.88,0,Weather,14.6,-2.7,Rain
AB0975,19-02-2024,SHJ-DOH,A321,2103.1,16643.4,188,9836.6,9988.9,9582.4,29.77,0,None,17.4,-28.3,Clear
AB0976,24-03-2024,SHJ-CAI,A320,1516.1,13142.6,168,8325.3,8410.2,8010.4,28.93,11,None,21.5,-46.6,Fog
AB0977,22-03-2024,SHJ-CAI,A321,1415.5,16783.8,181,9287.5,9466.9,9017.8,29.4,13,Weather,22.2,-14.5,Fog
AB0978,23-01-2024,SHJ-DOH,A321,2108.5,17571.5,187,9823.2,9933.4,9678,29.19,43,Technical,10.2,-29,Clear
AB0979,07-03-2024,SHJ-CAI,A321,2364.5,16835.3,213,8543.9,8706.1,8302.9,28.95,17,None,17.4,-37.7,Cloudy
AB0980,07-03-2024,SHJ-DOH,A321,2386.8,17003.2,240,8484.4,8518.8,8102.2,29.16,29,None,7.6,-23.1,Rain
AB0981,03-03-2024,SHJ-DOH,A320,1687.4,13298,172,9120.7,9231,8834,28.11,10,Weather,12.6,-3.4,Cloudy
AB0982,26-02-2024,SHJ-MCT,A320,1859,14394.9,148,7540.8,7564.1,7258.4,26.31,0,ATC,20.6,-29.8,Rain
AB0983,28-01-2024,SHJ-MCT,A320,1596.2,13185.3,155,7646.1,7798.9,7129.6,29.02,33,ATC,13,-38.3,Fog
AB0984,01-04-2024,SHJ-DEL,A320,1578.6,15334.5,154,6748.6,6836.7,6491.7,28.27,15,Weather,13.9,-9.7,Rain
AB0985,02-04-2024,SHJ-DEL,A321,2072.2,16343.7,223,8858.2,8987.8,8615.1,28.14,2,Late Arrival,20.8,10.8,Storm
AB0986,27-01-2024,SHJ-RUH,A320,1921.1,14472.6,175,6926.8,7025.3,6615.3,28.32,12,Late Arrival,19.9,-24.7,Storm
AB0987,03-01-2024,SHJ-MCT,A320,1811.7,12772.2,158,9390.8,9489.8,9059,29.9,0,ATC,12.5,5.7,Fog
AB0988,21-01-2024,SHJ-MCT,A320,1809.2,13757.4,141,8447.7,8493,8093.3,27.86,3,None,19.3,-36.8,Cloudy
AB0989,08-01-2024,SHJ-MCT,A321,2450.4,17415.8,202,9283.6,9344.7,8997.2,28.56,4,None,26.1,-5.8,Fog
AB0990,21-02-2024,SHJ-RUH,A320,1986.9,14369.9,142,7958.5,7995.6,7561.5,28.64,56,None,23.3,1.2,Rain
AB0991,11-01-2024,SHJ-MCT,A321,2243.7,17467.9,195,10295.9,10410.4,9930.4,30.32,0,Late Arrival,17.1,-18.6,Storm
AB0992,21-04-2024,SHJ-DOH,A320,1594.1,14226.9,130,9047,9120.9,8742.3,27.17,5,Technical,21.4,-11.8,Storm
AB0993,17-03-2024,SHJ-MCT,A320,1658.9,13154,178,7277.7,7383.8,6971.7,28.31,27,Late Arrival,11.7,-48.7,Fog
AB0994,03-02-2024,SHJ-MCT,A321,2086.5,18301.5,240,11331.2,11342.1,11050.5,26.66,0,None,17,-0.5,Fog
AB0995,16-03-2024,SHJ-DEL,A320,1973.6,14227.4,147,7039.2,7174.1,6713.8,28.39,0,Technical,21.3,-13.6,Cloudy
AB0996,14-01-2024,SHJ-DEL,A320,1585.9,13215.7,178,7765.5,7890.5,7306.6,27.51,9,Weather,18.3,-30.9,Fog
AB0997,28-03-2024,SHJ-DOH,A320,1617.5,14701.4,181,8603.8,8676.7,8152.2,29.67,0,Late Arrival,12.9,-46.4,Cloudy
AB0998,01-03-2024,SHJ-RUH,A320,1710.8,13496.3,175,8243.9,8324.3,8063.2,27.63,0,None,13.1,-31.6,Fog
AB0999,05-03-2024,SHJ-DEL,A320,2086.7,14191.5,178,6501.4,6666.4,6081.9,26,0,Weather,20.5,-10.3,Cloudy
